iter	Logloss
0	0.6912749994
1	0.689941806
2	0.6886614972
3	0.6871967963
4	0.6858803163
5	0.6848982621
6	0.6836870437
7	0.6824868382
8	0.6813248268
9	0.6803483295
10	0.6792848557
11	0.6782461501
12	0.6772607386
13	0.6764325352
14	0.675775836
15	0.6748811144
16	0.6741136324
17	0.6735655794
18	0.6725012445
19	0.6716341437
20	0.6710101594
21	0.670328975
22	0.6697270943
23	0.6691657881
24	0.6684185092
25	0.6675626429
26	0.6667945571
27	0.6659437142
28	0.6650104543
29	0.6643178566
30	0.6636929441
31	0.6627828447
32	0.6622577581
33	0.6617267271
34	0.6610988057
35	0.6602983391
36	0.6593041667
37	0.6586761367
38	0.657989583
39	0.6573439182
40	0.6569317624
41	0.6562074076
42	0.6555469139
43	0.6548407794
44	0.6543315733
45	0.6534849425
46	0.6528300934
47	0.6523034617
48	0.6515341498
49	0.6511735173
50	0.6505799012
51	0.6500295088
52	0.6495057524
53	0.6490148278
54	0.6485437481
55	0.6478902066
56	0.6474409372
57	0.6468353509
58	0.6462876712
59	0.645813813
60	0.6452629955
61	0.6445458163
62	0.6440066151
63	0.6433909951
64	0.6428179497
65	0.6425051452
66	0.6419364949
67	0.6413032308
68	0.6406977897
69	0.6400547225
70	0.6393961708
71	0.6387699542
72	0.6382039142
73	0.6375284389
74	0.6371514083
75	0.6363718365
76	0.6359490709
77	0.6353555566
78	0.6347425022
79	0.6341293408
80	0.6335778287
81	0.6332142596
82	0.6328264461
83	0.6323089427
84	0.6317971103
85	0.6312927808
86	0.6308596908
87	0.6303882994
88	0.6298261004
89	0.6292789149
90	0.628769245
91	0.6282776828
92	0.6278400251
93	0.6274411109
94	0.6270150954
95	0.6265586496
96	0.6260825982
97	0.6257787095
98	0.625272776
99	0.6248004976
100	0.6242481685
101	0.6238762246
102	0.6233609118
103	0.6229023288
104	0.6223138895
105	0.6216915746
106	0.6212207954
107	0.6206482838
108	0.6203086398
109	0.6198990092
110	0.6193983153
111	0.6187346001
112	0.618039081
113	0.6174638249
114	0.6171486461
115	0.6166447508
116	0.6160750564
117	0.6155722507
118	0.6152217634
119	0.614694424
120	0.614343108
121	0.6139894304
122	0.6134227064
123	0.6129133592
124	0.6123969922
125	0.6118855879
126	0.6115259864
127	0.6111736501
128	0.6108136882
129	0.6103406877
130	0.6098552729
131	0.6094941438
132	0.6090177909
133	0.6087446076
134	0.608213144
135	0.6078118047
136	0.6074260288
137	0.6071567647
138	0.6068675814
139	0.6062983856
140	0.6058339582
141	0.6055328944
142	0.6051097889
143	0.6046628571
144	0.6041629306
145	0.6036807343
146	0.6031089812
147	0.6026402187
148	0.6021709081
149	0.6017647071
150	0.6015475595
151	0.6011210128
152	0.6008569627
153	0.6005076252
154	0.6001448545
155	0.5997518567
156	0.599455054
157	0.599230717
158	0.5988673707
159	0.5983764149
160	0.597931337
161	0.5975609873
162	0.5970135744
163	0.5966264541
164	0.5962232483
165	0.5958212247
166	0.5954287034
167	0.594982491
168	0.5946644044
169	0.5942036531
170	0.5937241959
171	0.5933603524
172	0.5929502065
173	0.592398994
174	0.5919766396
175	0.5914932097
176	0.5912950656
177	0.591009313
178	0.5907403804
179	0.5903855094
180	0.5899595784
181	0.589634255
182	0.5892433847
183	0.5888666096
184	0.5886145129
185	0.5880913898
186	0.5877618766
187	0.587468312
188	0.5871781883
189	0.586806568
190	0.5863736776
191	0.586105032
192	0.5858079398
193	0.5853492417
194	0.5848543671
195	0.5843938039
196	0.5840311851
197	0.5835950434
198	0.5833095058
199	0.5829563057
200	0.5825933466
201	0.5821707484
202	0.581841647
203	0.5814474381
204	0.5811952251
205	0.5808888773
206	0.5804850419
207	0.5800772556
208	0.579712075
209	0.5793312403
210	0.5789442056
211	0.5785059277
212	0.5780640081
213	0.5777691623
214	0.577427602
215	0.5770767242
216	0.5768015488
217	0.5765850022
218	0.5762533632
219	0.5758668982
220	0.5755682178
221	0.5751806976
222	0.5748740247
223	0.5746226271
224	0.5743592802
225	0.5739825742
226	0.5736736113
227	0.5731985471
228	0.5727942128
229	0.572433962
230	0.5719830356
231	0.5716274208
232	0.5713780569
233	0.5709188473
234	0.5704863511
235	0.5702016637
236	0.5698045724
237	0.5694721556
238	0.5691441482
239	0.5687243748
240	0.5683321499
241	0.5679106971
242	0.5675777697
243	0.567273835
244	0.5668822252
245	0.5665171751
246	0.5660312535
247	0.5657880264
248	0.5654735358
249	0.5651324566
250	0.564851446
251	0.5645557245
252	0.5644062533
253	0.5639612541
254	0.5637147872
255	0.5633165972
256	0.5631434362
257	0.5626699064
258	0.5624067998
259	0.5621141167
260	0.5617892993
261	0.5614570662
262	0.5611229558
263	0.5608338103
264	0.5603658021
265	0.5600236351
266	0.5597397435
267	0.5593304392
268	0.5591120623
269	0.5586842583
270	0.5583002318
271	0.5579997049
272	0.5576970128
273	0.5574272454
274	0.5570567971
275	0.5568587165
276	0.556484103
277	0.5561084538
278	0.5558296479
279	0.5554561837
280	0.5551375187
281	0.5548699074
282	0.5544116869
283	0.5539805034
284	0.5536190599
285	0.5533296592
286	0.5529978587
287	0.5527950602
288	0.5525587911
289	0.5524287755
290	0.5520887415
291	0.5518189587
292	0.5515446217
293	0.55124996
294	0.5510285157
295	0.5507875988
296	0.5506181234
297	0.5502522731
298	0.5499300573
299	0.5494912745
300	0.5492949189
301	0.5490867249
302	0.5486697293
303	0.5483982008
304	0.54811749
305	0.5476724749
306	0.5473995381
307	0.5470973907
308	0.5467189452
309	0.5464916324
310	0.5460836424
311	0.5457567211
312	0.5454593175
313	0.5451773322
314	0.5447746543
315	0.544461791
316	0.5442687078
317	0.5439147026
318	0.5436200284
319	0.543180716
320	0.5429237393
321	0.5426062475
322	0.5423144237
323	0.5420916425
324	0.5417227995
325	0.5414307646
326	0.5410889386
327	0.5407964034
328	0.5404935249
329	0.5401220564
330	0.5398669161
331	0.5396114221
332	0.5393865289
333	0.5391638217
334	0.5390019117
335	0.5387324836
336	0.5385062669
337	0.5382039813
338	0.5380606711
339	0.5378482403
340	0.5374712
341	0.5371597744
342	0.5368542133
343	0.536505105
344	0.536279385
345	0.5359585926
346	0.535705875
347	0.5354358714
348	0.5352169476
349	0.5348818976
350	0.5346421191
351	0.5343800365
352	0.5341258339
353	0.5339309308
354	0.5337122998
355	0.533506916
356	0.5331842797
357	0.5328427653
358	0.5326686573
359	0.5324362331
360	0.5322481989
361	0.5320211954
362	0.5317327992
363	0.531585443
364	0.5313298935
365	0.5311901344
366	0.5308825734
367	0.5305587681
368	0.5302407972
369	0.5300274779
370	0.5297511379
371	0.5294727004
372	0.5293145067
373	0.5290644807
374	0.5288412189
375	0.5286512401
376	0.5284150073
377	0.5281884668
378	0.5278889244
379	0.5276418801
380	0.5273238948
381	0.5270717043
382	0.5267278799
383	0.5263824451
384	0.5262583575
385	0.525983938
386	0.5258527695
387	0.5256394172
388	0.5253807768
389	0.5250859761
390	0.5248423591
391	0.5245318082
392	0.5243511368
393	0.5241037457
394	0.5239597163
395	0.5237797851
396	0.5235428277
397	0.5232310723
