iter	Passed	Remaining
0	87	87854
1	155	77393
2	249	82990
3	339	84481
4	414	82411
5	500	82966
6	605	85925
7	683	84730
8	771	84913
9	884	87542
10	983	88397
11	1097	90353
12	1167	88623
13	1246	87822
14	1352	88785
15	1419	87312
16	1500	86775
17	1593	86952
18	1679	86690
19	1779	87219
20	1875	87455
21	1946	86508
22	2026	86101
23	2128	86576
24	2203	85933
25	2292	85866
26	2371	85470
27	2438	84636
28	2499	83703
29	2607	84299
30	2682	83855
31	2778	84064
32	2865	83974
33	2943	83619
34	3019	83245
35	3093	82830
36	3165	82395
37	3238	81976
38	3319	81793
39	3396	81510
40	3466	81086
41	3549	80964
42	3619	80545
43	3691	80203
44	3772	80064
45	3843	79717
46	3912	79322
47	3996	79262
48	4066	78929
49	4136	78597
50	4225	78629
51	4286	78146
52	4356	77834
53	4439	77765
54	4505	77415
55	4584	77281
56	4670	77260
57	4742	77026
58	4815	76806
59	4887	76569
60	4955	76275
61	5034	76167
62	5106	75954
63	5179	75742
64	5242	75406
65	5313	75194
66	5380	74926
67	5455	74769
68	5535	74690
69	5610	74535
70	5674	74247
71	5752	74141
72	5818	73883
73	5895	73768
74	5974	73686
75	6045	73496
76	6109	73237
77	6191	73182
78	6261	73002
79	6341	72931
80	6426	72913
81	6491	72672
82	6559	72469
83	6648	72496
84	6737	72525
85	6808	72356
86	6880	72208
87	6948	72011
88	7020	71865
89	7108	71877
90	7179	71711
91	7244	71498
92	7329	71481
93	7403	71359
94	7473	71195
95	7553	71129
96	7624	70974
97	7699	70863
98	7772	70736
99	7841	70572
100	7907	70384
101	7992	70362
102	8068	70264
103	8134	70081
104	8203	69927
105	8290	69918
106	8362	69791
107	8432	69643
108	8505	69527
109	8594	69539
110	8670	69445
111	8764	69491
112	8837	69368
113	8903	69200
114	8974	69064
115	9054	69000
116	9127	68884
117	9212	68856
118	9281	68713
119	9355	68603
120	9425	68474
121	9501	68379
122	9815	69984
123	9953	70313
124	10109	70769
125	10183	70640
126	10257	70511
127	10323	70326
128	10403	70243
129	10467	70052
130	10710	71046
131	10952	72017
132	11089	72289
133	11156	72103
134	11239	72017
135	11315	71883
136	11382	71698
137	11463	71606
138	11751	72789
139	11964	73496
140	12052	73425
141	12118	73220
142	12195	73088
143	12279	72993
144	12358	72872
145	12436	72743
146	12516	72631
147	12608	72583
148	12723	72670
149	12821	72657
150	12895	72505
151	12978	72405
152	13049	72239
153	13114	72047
154	13185	71882
155	13265	71770
156	13334	71595
157	13398	71403
158	13461	71203
159	13543	71104
160	13633	71047
161	13698	70860
162	13768	70701
163	13840	70553
164	13906	70374
165	13972	70196
166	14063	70149
167	14132	69988
168	14202	69838
169	14269	69670
170	14356	69600
171	14431	69471
172	14499	69313
173	14576	69196
174	14645	69043
175	14717	68905
176	14784	68742
177	14865	68648
178	14935	68502
179	15008	68371
180	15084	68257
181	15154	68112
182	15241	68044
183	15312	67905
184	15380	67759
185	15462	67667
186	15545	67585
187	15611	67428
188	15696	67352
189	15777	67263
190	15839	67089
191	15909	66953
192	15993	66873
193	16075	66786
194	16151	66676
195	16220	66537
196	16290	66401
197	16356	66253
198	16435	66156
199	16511	66045
200	16582	65915
201	16661	65820
202	16742	65730
203	16818	65623
204	16888	65494
205	16979	65446
206	17051	65321
207	17128	65221
208	17198	65092
209	17266	64953
210	17343	64852
211	17426	64774
212	17498	64653
213	17569	64532
214	17651	64449
215	17726	64341
216	17795	64212
217	17879	64137
218	17945	63998
219	18010	63855
220	18094	63781
221	18180	63712
222	18262	63633
223	18337	63526
224	18407	63402
225	18476	63277
226	18562	63209
227	18633	63093
228	18812	63336
229	18955	63460
230	19043	63396
231	19121	63298
232	19189	63170
233	19257	63038
234	19348	62986
235	19421	62872
236	19502	62786
237	19586	62709
238	19654	62582
239	19724	62461
240	19819	62418
241	19891	62304
242	19970	62213
243	20044	62104
244	20113	61983
245	20184	61866
246	20278	61820
247	20341	61682
248	20414	61572
249	20494	61483
250	20566	61373
251	20650	61296
252	20727	61199
253	20804	61102
254	20883	61011
255	21042	61153
256	21129	61085
257	21205	60987
258	21272	60860
259	21343	60745
260	21426	60666
261	21504	60574
262	21596	60518
263	21672	60419
264	21745	60311
265	21812	60190
266	21897	60115
267	21979	60034
268	22059	59945
269	22143	59869
270	22216	59763
271	22293	59667
272	22376	59588
273	22442	59463
274	22512	59350
275	22595	59273
276	22660	59145
277	22735	59047
278	22820	58974
279	22892	58865
280	22959	58746
281	23037	58655
282	23110	58551
283	23193	58474
284	23269	58376
285	23340	58268
286	23409	58157
287	23486	58064
288	23561	57966
289	23637	57871
290	23717	57785
291	23788	57678
292	23859	57573
293	23937	57482
294	24010	57381
295	24083	57280
296	24165	57199
297	24237	57097
298	24308	56989
299	24400	56934
300	24462	56808
301	24535	56707
302	24617	56628
303	24692	56532
304	24757	56415
305	24847	56352
306	24919	56251
307	24999	56168
308	25072	56067
309	25140	55957
310	25208	55846
311	25294	55777
312	25364	55671
313	25444	55589
314	25520	55497
315	25588	55388
316	25667	55302
317	25744	55212
318	25809	55098
319	25878	54991
320	25962	54916
321	26026	54800
322	26100	54706
323	26164	54590
324	26251	54522
325	26325	54428
326	26404	54343
327	26486	54264
328	26556	54162
329	26636	54080
330	26718	54002
331	26785	53892
332	26848	53776
333	26937	53714
334	27003	53604
335	27073	53502
336	27153	53420
337	27220	53312
338	27291	53213
339	27371	53133
340	27446	53041
